تاريخ البيع,إسم المنتج,صنف المنتج,المدينة,السعر (رس),الكمية المباعة,السعر الإجمالي (رس)
2023-09-19,بشت اليوم الوطني,ملابس,الدمام,341.57,34,8332.8
2023-09-22,دقلة اليوم الوطني,ملابس,الرياض,419.09,72,2372.79
2023-09-21,بكج توزيعات نحلم ونحقق,هدايا,الدمام,319.33,30,14164.19
2023-09-20,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,الرياض,390.23,37,16312.83
2023-09-20,بروش سيفين ونخلة - ( معدن ),هدايا,جدة,142.89,59,2173.71
2023-09-17,بالونات همة حتى القمة مجموعة(5 بالون),هدايا,خميس مشيط,363.48,20,5121.08
2023-09-19,دقلة اليوم الوطني (اسود),ملابس,الدمام,230.65,51,7918.56
2023-09-20,مجموعة 12 كرت حامل,هدايا,الرياض,128.14,77,18433.17
2023-09-19,دقلة اليوم الوطني,ملابس,الرياض,357.22,65,18201.6
2023-09-15,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,الرياض,169.74,84,2616.36
2023-09-20,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,خميس مشيط,405.49,89,32137.66
2023-09-18,فستان اليوم الوطني السعودي 93,ملابس,الدمام,462.18,71,38736.799999999996
2023-09-16,بروش علم السعودية - ( معدن ),هدايا,الرياض,329.92,74,17058.99
2023-09-20,بشت اليوم الوطني مع اضافه الاسم,ملابس,الرياض,472.45,49,8081.280000000001
2023-09-17,كوب قهوة - جيش التوحيد - اليوم الوطني السعودي,هدايا,الرياض,191.67,57,34120.5
2023-09-21,مجموعة 6 اكياس بهوية اليوم الوطني 93 مقاس 13*11*11 سم,هدايا,الدمام,206.35,26,4662.0
2023-09-21,تيشرت مع تنوره اليوم الوطني السعودي 93,ملابس,خميس مشيط,418.52,47,7418.200000000001
2023-09-17,شال السعودية ( وشاح قماشي ) - اليوم الوطني السعودي,ملابس,الرياض,338.18,92,1939.1999999999998
2023-09-15,بالونات اليوم الوطني 93 - 6 بالون منوع,هدايا,جدة,65.52,68,4793.7
2023-09-19,دقلة اليوم الوطني (اسود),ملابس,الدمام,327.91,10,34939.22
2023-09-18,كروت حاملة للورد بشعار اليوم الوطني نحلم ونحقق,هدايا,جدة,359.3,20,4893.21
2023-09-20,دقلة اليوم الوطني (اسود),ملابس,الدمام,177.89,100,8491.960000000001
2023-09-21,سديري الهوية الوطنية,ملابس,خميس مشيط,284.72,11,29304.76
2023-09-18,شال اليوم الوطني السعودي 93 - للقمة سائرين ( وشاح قماشي ),ملابس,الدمام,308.67,96,26777.22
2023-09-17,زينة اليوم الوطني السعودي 93 - نحلم ونحقق,هدايا,الرياض,137.67,27,6105.259999999999
2023-09-16,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,الرياض,380.65,56,4306.1
2023-09-17,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,الرياض,416.24,58,538.12
2023-09-21,شال نسائي اليوم الوطني,ملابس,جدة,425.16,76,7793.31
2023-09-15,بشت اليوم الوطني مع اضافه الاسم,ملابس,جدة,273.69,87,36822.0
2023-09-21,هدية تذكارية بنقش ليزر على الخشب لليوم الوطني (مجموعة 3 قطع),هدايا,الدمام,167.02,17,18304.44
2023-09-17,بالونات اليوم الوطني 93 - 6 بالون أخضر,هدايا,الرياض,303.81,16,7704.8
2023-09-18,سديري الهوية الوطنية,ملابس,خميس مشيط,267.62,19,859.48
2023-09-18,بشت اليوم الوطني مع اضافه الاسم,ملابس,جدة,247.65,90,5036.24
2023-09-19,لوقو اكريليك دائري لليوم الوطني93 (درزن عدد 12 قطعة),هدايا,جدة,389.8,15,2436.28
2023-09-21,أكياس ميني أبيض بشعار اليوم الوطني93 نحلم ونحقق درزن(مجموعة 12 قطع),هدايا,الدمام,168.07,66,38527.079999999994
